Q2A,Q4A,Q7A,Q9A,Q15A,Q19A,Q20A,Q23A,Q25A,Q28A,Q30A,Q36A,Q40A,Q41A,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,religion,orientation,race,married,familysize,age_group,predict
2,0,3,2,1,0,1,0,0,0,2,0,3,3,1,1,7,4,6,4,6,1,6,1,1,3,2,4,5,70,1,5,2,Severe
1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,5,3,6,5,5,5,6,3,3,3,2,2,10,1,10,1,4,3,Extremely Severe
0,2,2,2,2,0,2,2,1,1,2,1,1,1,2,5,6,5,3,2,6,3,5,5,2,3,2,7,2,60,1,4,3,Severe
0,0,1,0,1,0,1,0,1,0,0,0,0,0,7,6,4,5,3,2,6,3,5,2,4,2,2,2,2,60,1,2,4,Normal
3,3,3,3,3,3,3,3,1,3,2,3,3,3,1,4,5,7,5,7,6,7,1,4,2,3,1,12,2,70,1,4,2,Extremely Severe
1,0,2,3,1,3,3,0,2,3,2,3,3,2,1,7,5,7,5,7,1,2,1,7,1,1,2,2,2,60,1,3,3,Extremely Severe
0,0,0,0,0,3,1,0,0,0,2,1,1,2,5,1,4,6,5,5,7,6,2,1,3,3,2,1,1,60,1,2,3,Moderate
3,1,0,1,0,0,0,1,0,2,2,3,3,1,5,2,5,5,2,6,7,6,6,2,4,2,1,12,1,60,1,5,4,Severe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,1,6,5,3,2,7,2,3,2,1,1,1,60,3,2,4,Normal
0,1,0,3,0,0,2,0,0,2,2,2,3,0,1,7,5,7,1,6,5,4,1,3,2,2,2,7,1,60,1,2,3,Severe
0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,4,4,7,7,5,4,4,3,1,3,3,2,12,1,60,1,5,3,Normal
1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,7,7,1,6,5,4,7,6,2,2,1,1,2,1,60,1,1,3,Normal
1,0,0,2,0,1,3,0,0,0,1,0,0,0,2,2,5,4,6,7,4,6,3,6,2,3,2,4,2,50,1,2,3,Mild
1,1,0,2,0,0,2,0,0,2,1,2,2,0,1,5,5,6,3,6,5,3,3,5,2,3,2,4,1,70,1,3,3,Moderate
2,0,1,2,1,2,0,1,1,2,1,1,0,0,2,4,3,5,5,6,5,7,3,4,2,1,1,7,1,60,1,3,3,Moderate
3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,1,7,7,7,2,6,5,1,1,1,1,2,7,1,60,1,3,2,Extremely Severe
2,3,3,3,3,3,3,2,3,3,3,3,3,3,1,6,6,6,5,7,1,7,4,7,2,3,2,1,2,70,1,2,3,Extremely Severe
1,0,0,0,0,0,0,1,0,0,0,0,1,0,6,1,2,7,5,6,7,6,1,1,3,3,2,6,1,60,1,4,5,Normal
2,0,1,2,0,0,1,1,0,0,0,1,1,0,5,2,6,5,7,7,5,2,1,3,2,3,2,1,2,10,1,4,3,Mild
0,2,2,3,2,0,3,1,3,3,1,2,1,2,5,5,2,6,7,5,7,3,2,7,3,3,2,4,2,70,1,3,3,Extremely Severe
0,1,0,3,0,1,0,2,2,0,1,0,2,0,2,5,6,6,5,7,5,5,4,6,2,1,1,2,1,60,1,2,4,Moderate
0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,5,7,1,7,7,7,7,7,1,3,3,2,4,1,60,1,3,5,Normal
